filename, language, Markdown, Django txt, Ignore, Ruby, Python, JSON, Django HTML, CSS, JavaScript, XML, comment, blank, total
.vagrant\rgloader\loader.rb, Ruby, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 2, 10
client\.gitignore, Ignore, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 6, 24
client\README.md, Markdown, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 69
client\package-lock.json, JSON, 0, 0, 0, 0, 0, 13494, 0, 0, 0, 0, 0, 1, 13495
client\package.json, JSON, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
client\public\index.html, Django HTML, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 45
client\public\manifest.json, JSON, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
client\public\robots.txt, Django txt, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
client\src\App.css, CSS, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
client\src\App.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 2, 8, 62
client\src\actions\navbar.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
client\src\actions\types.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
client\src\assets\bill.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 1, 1, 52
client\src\assets\cash.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 1, 1, 56
client\src\assets\dashboard.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 1, 1, 45
client\src\assets\emptycart.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
client\src\assets\house.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 1, 1, 45
client\src\assets\login.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 1, 1, 63
client\src\assets\logout.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 1, 1, 47
client\src\assets\modern.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
